Index,Date,T_Index0,T_Index1,T_Index2,T_Index3,T_Index4,T_Index5,T_Index6,T_Index7,T_Index8,T_Index9,T_Index10,T_Index11,T_Index12,T_Index13,T_Index14,T_Index15
0,2019-01-03,-0.30937867628390014,-0.5760899072085373,-0.2577064690104013,-0.04489799184647977,0.013247882066157053,0.01511277711923306,-0.504907595008084,-0.029854920521980917,-0.03952072137119159,-0.0011454584690859734,-0.037460189314818544,-0.09023382049846108,-0.04801597395508435,-0.033156453972544034,-0.14690194755123284,1.7421824691334018
1,2019-01-04,-0.07369296208006336,-0.1026713781426126,-0.06993742113335448,-0.03615311752580126,0.012156344238278124,0.004518817950812642,-0.12271600158066485,-0.013426648653856833,-0.028394992023685405,4.526788868423003e-05,-0.03701923020694024,-0.039228902319806906,-0.026140356420812992,-0.04639408837061013,-0.053448344401038496,1.7367393768563355
2,2019-01-07,-0.06547392110003596,-0.05429736737736203,-0.039595634919623514,-0.04052429932786089,0.01341135135738149,0.0026845009223401594,-0.057912888656342545,-0.011856031775856977,-0.028409365749662994,-0.004913942541685212,-0.041989908453490314,-0.04421451093157763,-0.04184200158157261,-0.030397458010657324,-0.06327486860853891,1.725494464742923
3,2019-01-08,-0.26005679154833533,-0.5963757902684412,-0.237424952685271,-0.04734843036353058,0.011881208712906495,0.014357392662373953,-0.2832251062867691,-0.02526030835353,-0.03384410578718831,0.007447591474744426,-0.04087387993415809,-0.07208499940827895,-0.04439033471543747,-0.03499876859986808,-0.1373082942148737,1.7421695887743724
4,2019-01-09,-0.1585142753739186,-0.21902493788534438,-0.1614258138008391,-0.040215697373422954,0.009199902179269586,0.01094538888977775,-0.25902432497492817,-0.020991619079480432,-0.035794115098820536,-0.0017214054683224208,-0.040216476174658504,-0.05341702534256946,-0.038731459842211664,-0.03784394347217557,-0.12813797729120752,1.7420254412500022
5,2019-01-10,-0.1666939804388663,-0.40561435401729345,-0.229272099153166,-0.04735526956731577,0.014772493309696174,0.00888851732553998,-0.14770491056923205,-0.022732743956444274,-0.02983671604359813,0.002539029107642925,-0.03705322142317887,-0.05603590032882589,-0.02675724276597951,-0.04028919482519911,-0.10177775734075865,1.7418821828272506
6,2019-01-11,-0.3980650666600569,-0.5813747295482381,-0.2738529578184395,-0.03914045007546414,0.01233828548404233,0.015031574630752515,-0.5461704370187964,-0.027574495849423397,-0.03621613342144612,0.005462864047200368,-0.03713427541394047,-0.06660877288087036,-0.058798434509775295,-0.040117398085857854,-0.11114817445772998,1.7421971077402445
7,2019-01-14,-0.11275921308918464,-0.1541080994425871,-0.07533451012642804,-0.04354457370430131,0.01161345992061113,0.005413094553656352,-0.12878099312771216,-0.01669781492133136,-0.02897875664219691,-0.0036772134834708154,-0.04222431727871703,-0.04315312818593116,-0.03919950590387467,-0.034661999651415115,-0.06758849577136268,1.7401527262497993
8,2019-01-15,-0.13024338712944597,-0.3235641692134006,-0.1430687192789381,-0.039929628431503716,0.013122532687828238,0.01059127635636279,-0.38110597949015035,-0.022518781550852043,-0.03323742469163034,0.0019514486200808393,-0.03597406849215551,-0.06858275310403196,-0.034925626456617016,-0.041373599392731206,-0.08460065444378131,1.7418215640168722
9,2019-01-16,-0.15947982233257252,-0.2739854104036525,-0.15501103084510912,-0.03831623296086778,0.011530590396121797,0.010144541782742265,-0.46877087841203013,-0.02222592807633185,-0.03207877430728035,0.00021629065473776797,-0.03745289423225331,-0.055354273752457606,-0.04096974581608209,-0.0462777108740694,-0.14170571047523522,1.7420313204285551
