Index,Date,T_Index0,T_Index1,T_Index2,T_Index3,T_Index4,T_Index5,T_Index6,T_Index7,T_Index8,T_Index9,T_Index10,T_Index11,T_Index12,T_Index13,T_Index14,T_Index15
0,2009-05-04,-0.012396563288106403,-0.016488285639588464,-0.017002082205963418,-0.02434859780867181,-0.012624634720991068,-0.010042588731643314,-0.022845277969812408,-0.012569568677366843,-0.013844928565902428,-0.005618001466202126,-0.015852567730265457,-0.011500451654180937,-0.011973979940793252,-0.019262579551500462,-0.01742777017259942,-0.010029548654186846
1,2009-05-05,-0.005337190607769384,-0.009712257463850679,-0.0054933733675118085,-0.012015330368098018,-0.011062049587578976,-0.007293637778552241,-0.01029752956888504,-0.004564160818965524,-0.006185562561487435,-0.003481384601350229,-0.00737033214619204,-0.00741404912551579,-0.008617900655155528,-0.0069577021815825585,-0.007848571453304538,-0.004845112326737896
2,2009-05-06,-0.007614754167233797,-0.014461617840520576,-0.00990693618307284,-0.015582346208519102,-0.012850948198357609,-0.005964516716894077,-0.013778552409203317,-0.006694655157768845,-0.008285412270034667,-0.0038443184490211165,-0.011838272479318096,-0.008913442006756249,-0.008977370167925748,-0.011069954477334231,-0.012606389294142338,-0.0055520010850366435
3,2009-05-07,-0.010802229661908778,-0.016978454931841115,-0.013556225088693707,-0.022415883106840444,-0.018815295374741043,-0.00834304063171215,-0.01875291548446242,-0.004069592991933343,-0.013983026114108277,-0.0063210132161233955,-0.019634059960601337,-0.012114358458693155,-0.01087001047954498,-0.014299162495444127,-0.017402637132910192,-0.005850306791154137
4,2009-05-08,-0.009881305830901386,-0.01689044674134248,-0.012352042947249713,-0.025159733798673714,-0.013545972368092043,-0.007418619769400209,-0.016707078671912474,-0.007889814672068736,-0.011606533665184167,-0.006176872884224513,-0.01626437194942698,-0.010333467063779588,-0.01256403616192878,-0.011893452803715312,-0.016210676644344477,-0.007543127742471228
5,2009-05-11,-0.01050958517426117,-0.01677591365943405,-0.01319105000757664,-0.02164683669947304,-0.013345620553123255,-0.011321708159006672,-0.020189213863428503,-0.01038578676076151,-0.01182927041180222,-0.0050735642129142765,-0.01739248177549176,-0.01161526875925304,-0.013653660147232353,-0.013993722548415407,-0.014854000158464605,-0.007991516158992271
6,2009-05-12,-0.008811414647177922,-0.014823034898751038,-0.010319327557058382,-0.017809386491007655,-0.012593195838523183,-0.009164817930336001,-0.01762598255190656,-0.008798839208665789,-0.010268732685210995,-0.004329446514948877,-0.011412452413041386,-0.011728730843084217,-0.011568096509409004,-0.010773106920079305,-0.013441422324650548,-0.008303969792913056
7,2009-05-13,-0.011798928648413736,-0.016484252546626613,-0.010855849053745942,-0.02133594405978185,-0.014288372868837516,-0.0069649386797477775,-0.018545935323540576,-0.009405657724067765,-0.00958108265027158,-0.004752317897680137,-0.016085626796089724,-0.011254122354815141,-0.01050439838997275,-0.013244175053844384,-0.01636034525420753,-0.007939941670085732
8,2009-05-14,-0.006283389451851586,-0.0101787851322695,-0.009038199489433955,-0.01667408952178785,-0.01317085006293161,-0.005878457214048122,-0.012113074530877326,-0.00466132533091345,-0.008081202294272286,-0.005161261097443092,-0.008961645456166293,-0.006616146477645794,-0.0095959635534404,-0.008643027208188263,-0.010027347479847123,-0.004980047196980863
9,2009-05-15,-0.008952134606140694,-0.012969940364965227,-0.010496596863327524,-0.014562255269497948,-0.013585906689596496,-0.012410399048033802,-0.018581817060782276,-0.003984529238644402,-0.0102056941655367,-0.004199466080184939,-0.013605479220758911,-0.009040037536784576,-0.011667281655956634,-0.012480037898206554,-0.013817446682654458,-0.005478375704483558
